sample.id	Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity	BinLab	Quality
DonB	bin_5	o__Clostridiales (UID1212)	172	263	149	57	201	5	0	0	0	76.15	3.36	0	DonB_bin_5	MAG
DonB	bin_50	o__Clostridiales (UID1212)	172	263	149	90	107	63	3	0	0	76.71	30.88	1.39	DonB_bin_50	Bin
DonB	bin_51	o__Bacteroidales (UID2617)	213	406	265	78	326	2	0	0	0	80.19	0.57	0	DonB_bin_51	MAG
DonB	bin_52	o__Bacteroidales (UID2617)	213	406	265	162	244	0	0	0	0	62.64	0	0	DonB_bin_52	Bin
DonB	bin_53	f__Lachnospiraceae (UID1255)	90	354	174	25	326	3	0	0	0	94.71	1.25	0	DonB_bin_53	MAG
DonB	bin_54	f__Lachnospiraceae (UID1255)	90	354	174	9	341	3	1	0	0	96.12	1.92	0	DonB_bin_54	MAG
DonB	bin_55	f__Lachnospiraceae (UID1255)	90	354	174	10	339	5	0	0	0	96.36	1.92	0	DonB_bin_55	MAG
DonB	bin_56	k__Bacteria (UID3187)	2258	186	116	8	175	3	0	0	0	95.17	2.59	0	DonB_bin_56	MAG
DonB	bin_57	k__Bacteria (UID203)	5449	104	58	48	47	9	0	0	0	68.89	12.07	0	DonB_bin_57	Bin
DonB	bin_58	f__Bifidobacteriaceae (UID1460)	70	502	225	0	502	0	0	0	0	100	0	0	DonB_bin_58	MAG
DonB	bin_59	o__Bacteroidales (UID2617)	213	406	265	26	378	2	0	0	0	93.65	0.75	0	DonB_bin_59	MAG
DonB	bin_6	f__Lachnospiraceae (UID1256)	33	333	171	49	261	23	0	0	0	83.77	2.18	21.74	DonB_bin_6	MAG
DonB	bin_60	o__Clostridiales (UID1212)	172	263	149	10	252	1	0	0	0	94.63	0.67	0	DonB_bin_60	MAG
DonB	bin_61	o__Clostridiales (UID1226)	155	278	158	64	211	3	0	0	0	86.21	1.58	66.67	DonB_bin_61	MAG
DonB	bin_62	root (UID1)	5656	56	24	54	2	0	0	0	0	8.33	0	0	DonB_bin_62	Bin
DonB	bin_63	p__Bacteroidetes (UID2605)	350	316	210	10	305	1	0	0	0	95.48	0.48	0	DonB_bin_63	MAG
DonB	bin_64	o__Clostridiales (UID1226)	155	278	158	37	238	3	0	0	0	96.68	1.16	0	DonB_bin_64	MAG
DonB	bin_65	k__Bacteria (UID203)	5449	100	55	99	1	0	0	0	0	1.82	0	0	DonB_bin_65	Bin
DonB	bin_66	f__Lachnospiraceae (UID1255)	90	354	174	10	338	6	0	0	0	96.63	3.16	16.67	DonB_bin_66	MAG
DonB	bin_67	p__Bacteroidetes (UID2605)	350	314	208	7	306	1	0	0	0	97.12	0.48	0	DonB_bin_67	MAG
DonB	bin_68	k__Bacteria (UID203)	5449	102	56	6	79	16	1	0	0	97.4	6.01	100	DonB_bin_68	MAG
DonB	bin_69	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	DonB_bin_69	Bin
DonB	bin_7	o__Lactobacillales (UID355)	490	336	184	2	331	3	0	0	0	98.91	1.63	33.33	DonB_bin_7	MAG
DonB	bin_70	o__Clostridiales (UID1212)	172	257	149	88	158	10	1	0	0	70.5	6.71	15.38	DonB_bin_70	MAG
DonB	bin_71	f__Lachnospiraceae (UID1255)	90	354	174	18	330	6	0	0	0	95.64	2.45	0	DonB_bin_71	MAG
DonB	bin_72	o__Clostridiales (UID1212)	172	257	149	9	245	3	0	0	0	95.64	1.36	66.67	DonB_bin_72	MAG
DonB	bin_73	p__Actinobacteria (UID2112)	31	211	124	21	188	2	0	0	0	91.42	1.61	100	DonB_bin_73	MAG
DonB	bin_74	c__Deltaproteobacteria (UID3218)	61	284	169	3	278	3	0	0	0	98.22	0.72	33.33	DonB_bin_74	MAG
DonB	bin_75	o__Lactobacillales (UID355)	490	333	183	5	328	0	0	0	0	97.27	0	0	DonB_bin_75	MAG
DonB	bin_76	o__Clostridiales (UID1212)	172	263	149	51	169	40	3	0	0	87.73	19.11	2.04	DonB_bin_76	Bin
DonB	bin_77	o__Clostridiales (UID1226)	155	278	158	7	268	3	0	0	0	96.94	1.16	0	DonB_bin_77	MAG
DonB	bin_78	o__Bacteroidales (UID2617)	213	406	265	32	369	5	0	0	0	94.97	1.26	0	DonB_bin_78	MAG
DonB	bin_79	f__Lachnospiraceae (UID1255)	90	354	174	96	232	24	2	0	0	76.68	8.69	40	DonB_bin_79	MAG
DonB	bin_8	f__Enterobacteriaceae (UID5124)	134	1173	336	4	1163	6	0	0	0	99.37	0.73	0	DonB_bin_8	MAG
DonB	bin_80	o__Bacteroidales (UID2617)	213	406	265	9	395	2	0	0	0	97.55	0.75	0	DonB_bin_80	MAG
DonB	bin_81	o__Clostridiales (UID1212)	172	257	149	19	234	4	0	0	0	95.45	2.68	25	DonB_bin_81	MAG
DonB	bin_82	f__Lachnospiraceae (UID1256)	33	333	171	52	274	7	0	0	0	90.23	2.24	0	DonB_bin_82	MAG
DonB	bin_83	f__Lachnospiraceae (UID1255)	90	354	174	15	335	4	0	0	0	96.37	2.01	25	DonB_bin_83	MAG
DonB	bin_84	o__Clostridiales (UID1212)	172	257	149	53	201	3	0	0	0	88.25	1.68	0	DonB_bin_84	MAG
DonB	bin_85	o__Clostridiales (UID1212)	172	263	149	89	172	2	0	0	0	69.19	1.34	100	DonB_bin_85	Bin
DonB	bin_86	o__Clostridiales (UID1212)	172	257	149	50	203	4	0	0	0	88.03	2.35	50	DonB_bin_86	MAG
DonB	bin_87	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	DonB_bin_87	Bin
DonB	bin_88	o__Clostridiales (UID1226)	155	278	158	74	201	3	0	0	0	82.46	1.27	0	DonB_bin_88	MAG
DonB	bin_89	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	DonB_bin_89	Bin
DonB	bin_9	o__Clostridiales (UID1226)	155	278	158	206	71	1	0	0	0	26.77	0.63	0	DonB_bin_9	Bin
DonB	bin_90	o__Clostridiales (UID1212)	172	263	149	64	180	18	1	0	0	78.82	8.27	85.71	DonB_bin_90	MAG
DonB	bin_91	o__Clostridiales (UID1226)	155	278	158	132	146	0	0	0	0	60.22	0	0	DonB_bin_91	Bin
DonB	bin_92	o__Bacteroidales (UID2617)	213	406	265	143	261	2	0	0	0	69.63	0.75	50	DonB_bin_92	Bin
DonB	bin_93	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	DonB_bin_93	Bin
DonB	bin_94	o__Clostridiales (UID1212)	172	257	149	81	169	7	0	0	0	75.33	3.04	100	DonB_bin_94	MAG
DonB	bin_95	k__Bacteria (UID2372)	131	177	106	52	124	1	0	0	0	60.85	0.09	100	DonB_bin_95	Bin
DonB	bin_96	k__Bacteria (UID203)	5449	98	58	49	38	11	0	0	0	68.16	16.38	0	DonB_bin_96	Bin
DonB	bin_97	p__Actinobacteria (UID2112)	31	211	124	108	99	4	0	0	0	48.89	2.15	25	DonB_bin_97	Bin
DonB	bin_98	o__Bacteroidales (UID2617)	213	406	265	250	156	0	0	0	0	35.47	0	0	DonB_bin_98	Bin
DonB	bin_99	g__Lactobacillus (UID380)	58	449	129	2	446	1	0	0	0	99.03	0.78	0	DonB_bin_99	MAG
