BinLab	Completeness	Contamination	Phylum	Class	Order	Family	Genus	Species
DonB_bin_85	69.19	1.34	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	
DonB_bin_86	88.03	2.35	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UBA9475	
DonB_bin_87	0	0	NA	NA	NA	NA	NA	NA
DonB_bin_88	82.46	1.27	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA9502	
DonB_bin_89	0	0	NA	NA	NA	NA	NA	NA
DonB_bin_9	26.77	0.63	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	
DonB_bin_90	78.82	8.27	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	
DonB_bin_91	60.22	0	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA9502	
DonB_bin_92	69.63	0.75	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella muris
DonB_bin_93	0	0	NA	NA	NA	NA	NA	NA
DonB_bin_94	75.33	3.04	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
DonB_bin_95	60.85	0.09	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium cocleatum
DonB_bin_96	68.16	16.38	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	
DonB_bin_97	48.89	2.15	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	D16-34	
DonB_bin_98	35.47	0	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum intestinale
DonB_bin_99	99.03	0.78	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus taiwanensis
